customer_id,customer_name,email,phone,address,area,pincode,registration_date,customer_segment,total_orders,avg_order_value
97475543,Niharika Nagi,ektataneja@example.org,913000000000,"23, Nayar Path, Bihar Sharif-154625",Udupi,321865,13-05-2023,Premium,13,451.92
22077605,Megha Sachar,vedant45@example.com,915000000000,"51/302, Buch Chowk
Srinagar-570271",Aligarh,149394,14-05-2023,Inactive,4,825.48
47822591,Hema Bahri,samiazaan@example.com,910000000000,"941
Anne Street, Darbhanga 186125",Begusarai,621411,15-05-2023,Regular,17,1969.81
79726146,Zaitra Vig,ishanvi87@example.org,916000000000,"43/94, Ghosh, Alappuzha 635655",Kozhikode,826054,16-05-2023,New,4,220.09
57102800,Januja Verma,atideshpande@example.org,917000000000,"06
Om, Ambarnath 477463",Ichalkaranji,730539,17-05-2023,Inactive,14,578.14
54748429,Darsh More,ynayar@example.org,913000000000,"26/961
Salvi Circle, Durg 406361",Visakhapatnam,883122,18-05-2023,New,2,669.35
49152878,Patrick Sandhu,zehaanmahajan@example.org,912000000000,"304
Tara Road, Gandhinagar-559930",Gwalior,649817,19-05-2023,Premium,4,973.62
16379942,Harshil Kuruvilla,pathakanirudh@example.org,914000000000,"37/62, Basu Chowk
Sikar 515907",Orai,332997,20-05-2023,Inactive,15,1370.56
11071601,Ojas Ahuja,sneha11@example.com,913000000000,"H.No. 99
Kade Road
Ramgarh 695009",Buxar,528426,21-05-2023,Inactive,17,1950.54
68164013,Netra Chander,hwarrior@example.org,918000000000,"H.No. 94
Gupta Path, Hospet-831040",Malegaon,4515,22-05-2023,New,1,1061.82
80404839,Kashish Dora,pushti81@example.net,912000000000,"H.No. 24
Pant Street, Mathura 348430",Katni,642727,23-05-2023,Inactive,10,1537.35
27038630,Megha Thakkar,zinalsarna@example.com,917000000000,"H.No. 81
Sama Street, Danapur-137828",Fatehpur,393286,24-05-2023,Regular,11,1307.28
1655637,Turvi Radhakrishnan,mpandit@example.org,919000000000,"H.No. 404, Bhalla Chowk
Visakhapatnam 048875",Ichalkaranji,548633,25-05-2023,Regular,19,723.95
75566105,Dipta Doctor,peterdhaliwal@example.org,913000000000,"586
Badami Zila, Madhyamgram-394655",Hyderabad,871594,26-05-2023,Regular,18,1432.53
23961725,Zayyan Buch,kalpithayre@example.net,913000000000,"71/67, Oommen Ganj, Purnia 250900",Bhiwandi,629210,27-05-2023,Regular,6,367.74
67749649,Oviya Mitra,aaravdugar@example.com,920000000000,"103, Mahajan Circle
Silchar 256345",Mira-Bhayandar,222577,28-05-2023,Inactive,11,281.16
61461253,Arin Setty,naidushivani@example.org,917000000000,"63/164, Kari Chowk
Moradabad 624164",Amravati,381991,29-05-2023,Inactive,4,789.5
30619659,Lohit Kalla,vincent81@example.com,914000000000,"58/882, Ramanathan
Nashik 371218",Kochi,400041,30-05-2023,Inactive,14,1992.42
50229203,Rushil Dhingra,htella@example.org,911000000000,"H.No. 99
Ravel Street
Avadi 655413",Tiruchirappalli,598757,31-05-2023,Regular,7,1731.87
